attribute,layer,mi,nmi,n_values
index,metadata,0.08316161212974343,0.027387598772731395,10
section,metadata,0.11361938935125596,0.021535622388947545,56
style_lineage,l3,0.04097654968659331,0.009470379493735222,303
garment_group,metadata,0.02932957067089044,0.007459581123557594,21
material,l1,0.022515741625221034,0.005896876555257739,38
occasion,l2,0.02021125729339617,0.005520945234518288,288
style_mood,l2,0.031174153120985083,0.00550869851267816,727
product_type,metadata,0.026822547953643375,0.005294181917639482,131
l1_slot6,l1,0.01237366826047262,0.004817119760142616,34
l1_slot4,l1,0.013289865887162008,0.004767932928122783,29
color_harmony,l3,0.01116003768398899,0.004639892509104097,9
colour_group,metadata,0.016973755654569492,0.003911061049438988,50
perceived_quality,l2,0.0037754111957469306,0.0036540990969538474,5
l1_slot7,l1,0.01110957235367967,0.0036484128499759223,27
closure,l1,0.009877126557869549,0.003253770319176053,22
l3_slot6,l3,0.010492229222523727,0.003194536021072096,26
l1_slot5,l1,0.007955496498627066,0.0031361877767533204,25
l3_slot7,l3,0.008662238953060812,0.0028587515230347332,20
versatility,l2,0.0036843962454684584,0.002633823277818025,6
season_fit,l2,0.0035158379031861014,0.001996275663111222,6
tone_season,l3,0.0037331379928128156,0.0016472232368097662,7
coordination_role,l3,0.0019395401824155024,0.0013145551789708557,7
trendiness,l2,0.0008517314494136978,0.0006995498471936884,5
visual_weight,l3,0.0009082899449422808,0.0006937878499525059,6
