layer_combo,activity_bracket,mean_coherence,std_coherence,n_users
L1,sparse (1-4),0.8636931768748202,0.07370831170590576,2528
L1,light (5-9),0.8344914253217279,0.042739538631008774,2061
L1,moderate (10-49),0.814936572953496,0.0262057980410346,4078
L1,heavy (50+),0.8029256353335306,0.01229110644406573,1331
L2,sparse (1-4),0.90156347193767,0.05607321766364497,2528
L2,light (5-9),0.8787615445850544,0.03470165358298063,2061
L2,moderate (10-49),0.8621811799233657,0.02227610223618937,4078
L2,heavy (50+),0.8526282689788125,0.011420414030694567,1331
L3,sparse (1-4),0.904205548871733,0.05445168230493131,2528
L3,light (5-9),0.8817334812801477,0.033445589843184374,2061
L3,moderate (10-49),0.8665567447210774,0.021347010899270866,4078
L3,heavy (50+),0.8579691284406821,0.010811399375410065,1331
L1+L2,sparse (1-4),0.878497954929554,0.06556594198936934,2528
L1+L2,light (5-9),0.8522508104179508,0.038029020831021415,2061
L1+L2,moderate (10-49),0.8345180575961048,0.02333373295456973,4078
L1+L2,heavy (50+),0.8235661328331498,0.011008918508856028,1331
L1+L3,sparse (1-4),0.8679646967992752,0.07064270361711872,2528
L1+L3,light (5-9),0.8398611279496402,0.040762122058091974,2061
L1+L3,moderate (10-49),0.8216220012419712,0.024749224705400454,4078
L1+L3,heavy (50+),0.8101769518261114,0.01143981060943663,1331
L2+L3,sparse (1-4),0.9080640685426283,0.05263549483027638,2528
L2+L3,light (5-9),0.886155363947717,0.032362607834803506,2061
L2+L3,moderate (10-49),0.8708192059928264,0.020886002281841645,4078
L2+L3,heavy (50+),0.8617575879297608,0.010569077736508331,1331
L1+L2+L3,sparse (1-4),0.883303969155384,0.06343553455136873,2528
L1+L2+L3,light (5-9),0.8579926549491809,0.037027223982468944,2061
L1+L2+L3,moderate (10-49),0.8410440430067052,0.02283856659469864,4078
L1+L2+L3,heavy (50+),0.830430462071987,0.010916305069148811,1331
